Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-05-21 08:38:33.360],62.5,33.9,42.96
[2024-05-21 08:39:33.681],69.6,33.9,46.24
[2024-05-21 08:40:34.019],69.2,33.9,46.04
[2024-05-21 08:41:34.353],68.9,34,46.23
[2024-05-21 08:42:34.686],70.2,34,46.88
[2024-05-21 08:43:35.016],71.6,34.3,48.67
[2024-05-21 08:44:35.344],72,34.4,49.25
[2024-05-21 08:45:35.674],72.2,34.5,49.73
[2024-05-21 08:46:35.998],72.3,34.6,50.16
[2024-05-21 08:47:36.316],71.2,34.7,49.92
[2024-05-21 08:48:36.642],71.9,34.8,50.69
[2024-05-21 08:49:36.965],71.8,34.8,50.63
[2024-05-21 08:50:37.279],71.9,34.9,51.07
[2024-05-21 08:51:37.595],71.7,35,51.33
[2024-05-21 08:52:37.911],71.7,35,51.33
[2024-05-21 08:53:38.231],71.8,35.1,51.77
[2024-05-21 08:54:38.561],71.8,35.1,51.77
[2024-05-21 08:55:38.881],71.9,35.1,51.83
[2024-05-21 08:56:39.187],71.9,35.1,51.83
[2024-05-21 08:57:39.514],72,35.1,51.89
[2024-05-21 08:58:39.830],72.1,35.1,51.95
[2024-05-21 08:59:40.154],72,35.1,51.89
[2024-05-21 09:00:40.462],72.2,35.1,52.01
[2024-05-21 09:01:40.786],72.3,35.1,52.07
[2024-05-21 09:02:41.115],72.2,35.1,52.01
[2024-05-21 09:03:41.435],72.2,35.1,52.01
[2024-05-21 09:04:41.746],72.3,35.1,52.07
[2024-05-21 09:05:42.075],71.5,35.1,51.59
[2024-05-21 09:06:42.396],71.5,35.1,51.59
[2024-05-21 09:13:26.104],67.3,33.5,43.86
[2024-05-21 09:14:26.432],75.4,34.1,49.99
[2024-05-21 09:15:26.776],74.8,34.4,50.82
[2024-05-21 09:16:27.100],74.3,34.7,51.7
[2024-05-21 09:17:27.435],73.7,34.9,52.13
[2024-05-21 09:18:27.770],73.3,35,52.29
[2024-05-21 09:19:28.104],73,35,52.11
[2024-05-21 09:20:28.428],73,35,52.11
[2024-05-21 09:21:28.766],72.8,35,51.99
[2024-05-21 09:22:29.093],72.3,35.1,52.07
[2024-05-21 09:23:29.425],72.4,35.3,52.92
[2024-05-21 09:24:29.757],72.4,35.3,52.92
[2024-05-21 09:25:30.091],72,35.3,52.67
[2024-05-21 09:26:30.414],61.7,34.9,45.58
[2024-05-21 09:27:30.748],68.1,34.7,48.21
[2024-05-21 09:28:31.088],69,34.4,47.65
[2024-05-21 09:29:31.412],69.5,34.4,47.91
[2024-05-21 09:30:31.738],69.6,34.5,48.31
[2024-05-21 09:31:32.085],70.1,34.4,48.23
[2024-05-21 09:32:32.402],70.4,34.4,48.39
[2024-05-21 09:33:32.732],70.8,34.2,47.89
[2024-05-21 09:34:33.076],70.8,34.3,48.24
[2024-05-21 09:35:33.406],70.4,34.3,48.03
[2024-05-21 09:36:33.737],70.1,34.2,47.52
[2024-05-21 09:37:34.057],69.6,34.4,47.96
[2024-05-21 09:38:34.402],69.6,34.4,47.96
[2024-05-21 09:39:34.728],71.2,34.4,48.82
[2024-05-21 09:40:35.063],71.7,34.5,49.46
[2024-05-21 09:41:35.388],72.2,34.7,50.48
[2024-05-21 09:42:35.717],71.9,34.8,50.69
[2024-05-21 09:43:36.050],72,35,51.51
[2024-05-21 09:44:36.380],71.8,35,51.39
[2024-05-21 18:29:47.981],60.9,33.4,40.9
[2024-05-21 18:31:27.861],67.5,33.7,44.59
[2024-05-21 18:32:28.189],66.6,34,45.12
[2024-05-21 18:33:28.508],66.9,34.4,46.57
[2024-05-21 18:34:28.843],66.9,34.7,47.58
[2024-05-21 18:35:29.177],66.5,34.9,48.04
[2024-05-21 18:36:29.496],66.5,35,48.38
[2024-05-21 18:37:29.831],66.3,35.1,48.62
[2024-05-21 18:38:30.150],66.3,35.2,48.96
[2024-05-21 18:39:30.484],66.1,35.3,49.2
[2024-05-21 18:40:30.803],66.2,35.4,49.6
[2024-05-21 18:41:31.122],66.2,35.4,49.6
[2024-05-21 18:42:31.454],66.1,35.4,49.55
[2024-05-21 18:43:31.789],66.1,35.5,49.9
[2024-05-21 18:44:32.110],66,35.6,50.19
[2024-05-21 18:45:32.446],66,35.5,49.84
[2024-05-21 18:46:32.766],65.8,35.6,50.08
[2024-05-21 18:47:33.102],64.7,35.5,49.1
[2024-05-21 18:48:33.422],65.9,35.4,49.43
[2024-05-21 18:49:33.758],66.1,35.4,49.55
[2024-05-21 18:50:34.079],66.1,35.6,50.25
[2024-05-21 18:51:34.415],66.2,35.6,50.31
[2024-05-21 18:52:34.744],66.2,35.7,50.66
[2024-05-21 18:53:35.065],66.3,35.7,50.72
[2024-05-21 18:54:35.401],66.4,35.7,50.78
[2024-05-21 18:55:35.721],63.4,35.5,48.38
[2024-05-21 18:56:36.057],63.7,35.3,47.88
[2024-05-21 18:57:36.393],64.4,35.2,47.93
[2024-05-21 18:58:36.713],64.9,35,47.53
[2024-05-21 18:59:37.034],65,35,47.58
[2024-05-21 19:00:37.370],65.2,34.8,47.02
[2024-05-21 19:01:37.692],65.5,34.7,46.85
[2024-05-21 19:02:38.025],65.3,34.8,47.08
[2024-05-21 19:03:38.362],65.4,34.8,47.13
[2024-05-21 19:04:38.683],65.7,34.8,47.28
[2024-05-21 19:05:39.020],65.8,34.8,47.34
[2024-05-21 19:06:39.342],65.9,34.8,47.39
[2024-05-21 19:07:39.679],65.9,34.8,47.39
[2024-05-21 19:08:40.000],66,34.8,47.44
[2024-05-21 19:09:40.337],65.7,34.8,47.28
[2024-05-21 19:10:40.658],65.6,34.7,46.9
[2024-05-21 19:11:40.995],65.5,34.7,46.85
[2024-05-21 19:12:41.326],65.6,34.6,46.57
[2024-05-21 19:13:41.648],65.7,34.6,46.62
[2024-05-21 19:14:41.985],65.7,34.6,46.62
[2024-05-21 19:15:42.306],65.8,34.6,46.67
[2024-05-21 19:16:42.643],65.8,34.6,46.67
[2024-05-21 19:17:42.965],65.7,34.6,46.62
[2024-05-21 19:18:43.302],65.7,34.6,46.62
[2024-05-21 19:19:43.625],65.7,34.6,46.62
[2024-05-21 19:20:43.962],65.7,34.6,46.62
[2024-05-21 19:21:44.284],65.6,34.6,46.57
[2024-05-21 19:22:44.618],65.6,34.6,46.57
[2024-05-22 08:38:01.162],69.1,32.6,41.85
[2024-05-22 08:39:01.492],76.5,33.7,49.05
[2024-05-22 08:40:01.834],76.1,33.9,49.6
[2024-05-22 08:41:02.165],75.6,34.2,50.49
[2024-05-22 08:42:02.489],75.6,34.3,50.88
[2024-05-22 08:43:02.829],75.2,34.5,51.44
[2024-05-22 08:44:03.153],74.8,34.5,51.21
[2024-05-22 08:45:03.492],74.7,34.5,51.15
[2024-05-22 08:46:03.822],74.2,34.5,50.86
[2024-05-22 08:47:04.146],74.3,34.5,50.92
[2024-05-22 08:48:04.485],74.5,34.5,51.04
[2024-05-22 08:49:04.809],74.9,34.6,51.66
[2024-05-22 08:50:05.144],74.9,34.5,51.27
[2024-05-22 08:51:05.483],74.7,34.5,51.15
[2024-05-22 08:52:05.808],74.3,34.5,50.92
[2024-05-22 08:53:06.148],74.4,34.5,50.98
[2024-05-22 08:54:06.472],74.2,34.5,50.86
[2024-05-22 08:55:06.811],74.1,34.4,50.42
[2024-05-22 08:56:07.138],73.9,34.5,50.69
[2024-05-22 08:57:07.478],73.8,34.6,51.02
[2024-05-22 08:58:07.802],73.1,34.8,51.39
[2024-05-22 08:59:08.126],73,34.7,50.94
[2024-05-22 09:00:08.465],72.5,34.8,51.04
[2024-05-22 09:01:08.789],72.2,35,51.63
[2024-05-22 09:02:09.129],72,35.1,51.89
[2024-05-22 09:03:09.453],72,35.2,52.28
[2024-05-22 09:04:09.792],71.4,35.2,51.92
[2024-05-22 09:05:10.116],70.8,35.2,51.56
[2024-05-22 09:06:10.462],71.1,35.2,51.74
[2024-05-22 09:07:10.786],70.9,35.2,51.62
[2024-05-22 09:08:11.125],71.7,34.9,50.95
[2024-05-22 09:09:11.449],72.7,34.7,50.77
[2024-05-22 09:10:11.773],73,34.6,50.56
[2024-05-22 09:11:12.113],73.2,34.5,50.29
[2024-05-22 09:12:12.437],73.7,34.2,49.44
[2024-05-22 09:13:12.776],73.4,34.5,50.41
[2024-05-22 09:14:13.100],73.1,34.6,50.62
[2024-05-22 09:15:13.440],72.8,34.9,51.6
[2024-05-22 09:16:13.780],72.6,34.9,51.48
[2024-05-22 09:17:14.104],72.1,35,51.57
[2024-05-22 09:18:14.428],72,35.1,51.89
[2024-05-22 09:19:14.768],71.5,35.1,51.59
[2024-05-22 09:20:15.092],71.5,35.2,51.98
[2024-05-22 09:21:15.431],71,35.2,51.68
[2024-05-22 09:22:15.755],70.9,35.2,51.62
[2024-05-22 09:23:16.095],70.9,35.3,52
[2024-05-22 09:24:16.434],70.8,35.3,51.94
[2024-05-22 09:25:16.758],70.9,35.3,52
[2024-05-22 09:26:17.091],70.3,35.3,51.64
[2024-05-22 09:27:17.415],71.1,35,50.98
[2024-05-22 09:28:17.754],72,34.8,50.75
[2024-05-22 09:29:18.078],72.7,34.6,50.39
[2024-05-22 09:30:18.418],73.1,34.5,50.24
[2024-05-22 09:31:18.742],73.3,34.5,50.35
[2024-05-22 09:32:19.081],73.7,34.3,49.81
[2024-05-22 09:33:19.405],73.8,34.2,49.49
[2024-05-22 09:34:19.745],73.5,34.5,50.46
[2024-05-22 09:35:20.069],73.2,34.6,50.67
[2024-05-22 09:36:20.402],72.8,34.7,50.83
[2024-05-22 09:37:20.741],72.4,34.8,50.98
[2024-05-22 09:38:21.065],72,35,51.51
[2024-05-22 09:39:21.405],71.8,35,51.39
[2024-05-22 09:40:21.729],71.7,35.1,51.71
[2024-05-22 09:41:22.068],71.5,35.2,51.98
[2024-05-22 09:42:22.392],71.3,35.2,51.86
[2024-05-22 09:43:22.732],71.1,35.3,52.12
[2024-05-22 09:44:23.056],70.8,35.3,51.94
[2024-05-22 09:45:23.393],70.9,35.3,52
[2024-05-22 09:46:23.717],70.9,35.3,52
[2024-05-22 09:47:24.056],70.6,35.3,51.82
[2024-05-22 09:48:24.380],70.6,35.4,52.2
[2024-05-22 09:49:24.720],69.5,35.3,51.16
[2024-05-22 09:50:25.044],69.7,35.3,51.28
[2024-05-22 09:51:25.383],69.6,35.1,50.48
[2024-05-22 09:52:25.707],70,35.2,51.08
[2024-05-22 09:53:26.047],70.4,35.1,50.94
[2024-05-22 09:54:26.371],70.1,35.2,51.14
[2024-05-22 09:55:26.705],69,35.2,50.5
[2024-05-22 09:56:27.044],69.2,35.3,50.98
[2024-05-22 09:57:27.368],69.7,35.3,51.28
[2024-05-22 09:58:27.708],69,35.3,50.86
[2024-05-22 09:59:28.032],69.9,35.2,51.02
