Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-04-14 20:16:42.960],69.6,32.3,41.15
[2024-04-14 20:16:43.964],69.6,32.3,41.15
[2024-04-14 20:16:45.004],69.8,32.3,41.22
[2024-04-14 20:16:46.008],69.8,32.3,41.22
[2024-04-14 20:16:47.043],69.8,32.3,41.22
[2024-04-14 20:16:48.046],69.8,32.3,41.22
[2024-04-14 20:16:49.070],69.6,32.3,41.15
[2024-04-14 20:16:50.089],69.6,32.3,41.15
[2024-04-14 20:16:51.124],69.6,32.3,41.15
[2024-04-14 20:16:52.126],69.6,32.3,41.15
[2024-04-14 20:16:53.151],69.6,32.4,41.45
[2024-04-14 20:16:54.170],69.6,32.4,41.45
[2024-04-14 20:16:55.205],69.6,32.3,41.15
[2024-04-14 20:16:56.207],69.6,32.3,41.15
[2024-04-14 20:16:57.241],69.6,32.4,41.45
[2024-04-14 20:16:58.249],69.6,32.4,41.45
[2024-04-14 20:16:59.274],69.6,32.4,41.45
[2024-04-14 20:17:00.277],69.6,32.4,41.45
[2024-04-14 20:17:01.313],69.6,32.3,41.15
[2024-04-14 20:17:02.317],69.6,32.3,41.15
[2024-04-14 20:17:03.351],69.5,32.3,41.11
[2024-04-14 20:17:04.359],69.5,32.3,41.11
[2024-04-14 20:17:05.395],69.5,32.4,41.41
[2024-04-14 20:17:06.406],69.5,32.4,41.41
[2024-04-14 20:17:07.433],69.5,32.4,41.41
[2024-04-14 20:17:08.436],69.5,32.4,41.41
[2024-04-14 20:17:09.471],69.5,32.4,41.41
[2024-04-14 20:17:10.474],69.5,32.4,41.41
[2024-04-14 20:17:11.516],69.5,32.4,41.41
[2024-04-14 20:17:12.520],69.5,32.4,41.41
[2024-04-15 21:47:45.091],66.7,33.5,43.6
[2024-04-15 21:47:50.372],69.9,33.9,46.39
[2024-04-15 21:48:00.450],68.7,33.9,45.8
[2024-04-15 21:48:10.543],67.9,34,45.75
[2024-04-15 21:48:20.610],67.4,34,45.5
[2024-04-15 21:48:30.687],67,34.1,45.64
[2024-04-15 21:48:40.764],66.9,34.1,45.59
[2024-04-15 21:48:50.842],66.8,34.1,45.54
[2024-04-15 21:49:00.919],66.7,34.1,45.49
[2024-04-15 21:49:10.997],66.6,34.1,45.44
[2024-04-15 21:49:21.074],66.7,34.1,45.49
[2024-04-15 21:49:31.152],66.9,34.1,45.59
[2024-04-15 21:49:41.229],66.8,34.1,45.54
[2024-04-15 21:49:51.306],66.8,34.1,45.54
[2024-04-15 21:50:01.384],66.9,34.1,45.59
[2024-04-15 21:50:11.461],67,34.1,45.64
[2024-04-15 21:50:21.539],67,34,45.31
[2024-04-15 21:50:31.616],67.2,34,45.41
[2024-04-15 21:50:41.694],67.2,34,45.41
[2024-04-15 21:50:51.787],67.2,34,45.41
[2024-04-15 21:51:01.864],67.3,34,45.46
[2024-04-15 21:51:11.941],67.4,34,45.5
[2024-04-15 21:51:22.003],67.3,34,45.46
[2024-04-15 21:51:32.096],67.4,34,45.5
[2024-04-15 21:51:42.174],67.4,34,45.5
[2024-04-15 21:51:52.251],67.4,34,45.5
[2024-04-15 21:52:02.328],67.4,34,45.5
[2024-04-15 21:52:12.395],67.4,34,45.5
[2024-04-15 21:52:22.483],67.4,34,45.5
[2024-04-15 21:52:32.560],67.4,34,45.5
[2024-04-15 21:52:42.632],67.3,34,45.46
[2024-04-15 21:52:52.705],67.2,34,45.41
[2024-04-15 21:53:02.797],67.2,34,45.41
[2024-04-15 21:53:12.865],67.3,34,45.46
[2024-04-15 21:53:22.941],67.2,34,45.41
[2024-04-15 21:53:33.020],67.2,34,45.41
[2024-04-15 21:53:43.095],67.2,34,45.41
[2024-04-15 21:53:53.175],67.2,34,45.41
[2024-04-15 21:54:03.250],67,34,45.31
[2024-04-15 21:54:13.330],67,34,45.31
[2024-04-15 21:54:23.405],67,34,45.31
[2024-04-15 21:54:33.486],67,33.9,44.99
[2024-04-15 21:54:43.563],66.9,33.9,44.94
[2024-04-15 21:54:53.641],66.8,34,45.22
[2024-04-15 21:55:03.732],66.9,33.9,44.94
[2024-04-15 21:55:13.800],66.9,33.9,44.94
[2024-04-15 21:55:23.876],67,33.9,44.99
[2024-04-15 21:55:33.955],66.9,34,45.26
[2024-04-15 21:55:44.042],67,34,45.31
[2024-04-15 21:55:54.118],67,34,45.31
[2024-04-15 21:56:04.185],67,33.9,44.99
[2024-04-15 21:56:14.266],66.8,33.9,44.9
[2024-04-15 21:56:24.352],66.8,34,45.22
[2024-04-15 21:56:34.418],66.9,33.9,44.94
[2024-04-15 21:56:44.500],66.9,33.9,44.94
[2024-04-15 21:56:54.575],66.7,33.9,44.85
[2024-04-15 21:57:04.667],66.6,33.9,44.8
[2024-04-15 21:57:14.735],66.7,33.9,44.85
[2024-04-15 21:57:24.810],66.8,33.9,44.9
[2024-04-15 21:57:34.890],66.8,33.9,44.9
[2024-04-15 21:57:44.977],66.7,33.9,44.85
[2024-04-15 21:57:55.045],66.5,33.9,44.76
[2024-04-15 21:58:05.125],66.4,33.9,44.71
[2024-04-15 21:58:15.200],66.5,33.9,44.76
[2024-04-15 21:58:25.275],66.5,33.9,44.76
[2024-04-15 21:58:35.355],66.5,33.9,44.76
[2024-04-15 21:58:45.430],66.5,33.9,44.76
[2024-04-15 21:58:55.522],66.5,33.9,44.76
[2024-04-15 21:59:05.601],66.6,33.9,44.8
[2024-04-15 21:59:15.669],66.6,33.9,44.8
[2024-04-15 21:59:25.745],66.6,33.9,44.8
[2024-04-15 21:59:35.824],66.5,33.9,44.76
[2024-04-15 21:59:45.912],66.7,33.9,44.85
[2024-04-15 21:59:55.979],66.7,33.9,44.85
[2024-04-15 22:00:06.059],66.8,33.9,44.9
[2024-04-15 22:00:16.137],66.9,33.9,44.94
[2024-04-16 09:47:35.162],65.8,32,38.93
[2024-04-16 09:47:45.239],65.1,32.2,39.23
[2024-04-16 09:47:55.315],64.7,32.3,39.36
[2024-04-16 09:48:05.409],63.9,32.4,39.34
[2024-04-16 09:48:15.469],63.4,32.5,39.43
[2024-04-16 09:48:25.562],63.2,32.5,39.36
[2024-04-16 09:48:35.639],63.1,32.5,39.32
[2024-04-16 09:48:45.716],63.4,32.6,39.7
[2024-04-16 09:48:55.793],63.3,32.6,39.66
[2024-04-16 09:49:05.870],63,32.7,39.82
[2024-04-16 09:49:15.947],62.7,32.8,39.98
[2024-04-16 09:49:26.023],61.8,32.8,39.65
[2024-04-16 09:49:36.101],61.9,32.8,39.68
[2024-04-16 09:49:46.178],62.1,32.8,39.76
[2024-04-16 09:49:56.255],61.9,32.9,39.95
[2024-04-16 09:50:06.332],61.8,32.9,39.91
[2024-04-16 09:50:16.408],61.7,32.9,39.87
[2024-04-16 09:50:26.486],61.6,32.9,39.84
[2024-04-16 09:50:36.578],61.4,33,40.03
[2024-04-16 09:50:46.640],61.3,33,39.99
[2024-04-16 09:50:56.732],61.5,33,40.06
[2024-04-16 09:51:06.794],61.8,33,40.18
[2024-04-16 09:51:16.887],61.9,33.1,40.48
