Timestamp, Humidity %, Temperature Â°C, Heat Index 
[2024-06-03 08:30:56.611],74.7,34.1,49.61
[2024-06-03 08:32:57.229],73.5,34.5,50.46
[2024-06-03 08:34:57.877],72.9,34.5,50.12
[2024-06-03 08:36:58.509],72,34.9,51.13
[2024-06-03 08:38:59.136],72.1,34.9,51.18
[2024-06-03 08:40:59.779],71.2,34.9,50.66
[2024-06-03 08:43:00.417],71.9,34.9,51.07
[2024-06-03 08:45:01.041],69.4,34.9,49.63
[2024-06-03 08:47:01.653],71.6,35,51.27
[2024-06-03 08:49:02.274],68.5,35,49.49
[2024-06-03 08:51:02.887],71.4,35,51.15
[2024-06-03 08:53:03.499],68.6,34.9,49.19
[2024-06-03 08:55:04.127],70.1,34.9,50.03
[2024-06-03 08:57:04.735],67.1,34.4,46.67
[2024-06-03 08:59:05.348],68.8,34.3,47.2
[2024-06-03 09:01:05.963],69.6,34.1,46.92
[2024-06-03 09:03:06.580],69.9,34.3,47.77
[2024-06-03 09:05:07.214],72.1,34.7,50.43
[2024-06-03 09:07:07.826],69.4,34.8,49.27
[2024-06-03 09:09:08.444],69.3,34.4,47.8
[2024-06-03 09:11:09.078],70,34.1,47.12
[2024-06-03 09:13:09.696],70.9,34.3,48.3
[2024-06-03 09:15:10.314],71.3,34.5,49.24
[2024-06-03 09:17:10.942],71.8,34.8,50.63
[2024-06-03 09:19:11.561],71.9,34.9,51.07
[2024-06-03 09:21:12.183],72,35,51.51
[2024-06-03 09:23:12.806],68.9,35,49.71
[2024-06-03 09:25:13.443],68.3,34.5,47.63
[2024-06-03 09:27:14.062],70,34.1,47.12
[2024-06-03 09:29:14.684],71.9,34.3,48.83
[2024-06-03 09:31:15.305],69.8,34.6,48.78
[2024-06-03 09:33:15.935],68.7,34.7,48.54
[2024-06-03 09:35:16.562],69,34.7,48.7
[2024-06-03 09:37:17.188],70.3,34.8,49.78
[2024-06-03 09:39:17.813],69.4,34.6,48.56
[2024-06-03 09:41:18.438],70.2,34.9,50.09
[2024-06-03 09:43:19.079],69.8,34.6,48.78
[2024-06-03 09:45:19.704],69.1,35,49.83
[2024-06-03 09:47:20.336],69.1,34.9,49.47
[2024-06-03 09:49:20.961],70.7,35,50.74
[2024-06-03 09:51:21.586],70.9,35,50.86
[2024-06-03 09:53:22.212],70.4,35,50.57
[2024-06-03 09:55:22.854],67.5,34.9,48.58
[2024-06-03 09:57:23.476],70.3,34.5,48.69
[2024-06-03 09:59:24.103],71.6,34.7,50.14
[2024-06-03 10:01:24.746],70,35,50.34
[2024-06-03 10:03:25.373],67.8,34.5,47.37
[2024-06-03 10:05:26.000],69,34.8,49.05
[2024-06-03 10:07:26.636],66.7,34.8,47.81
[2024-06-03 10:09:27.263],69.3,34.8,49.22
[2024-06-03 10:11:27.892],70.1,34.9,50.03
[2024-06-03 10:13:28.520],69.2,34.5,48.1
