Timestamp,Humidity,Temperature(°C),Heat-Index
[2024-06-04 08:23:23.143],66.7,32.3,40.07
[2024-06-04 08:25:23.773],71,33.9,46.94
[2024-06-04 08:27:24.421],68.5,34.5,47.73
[2024-06-04 08:29:25.053],68.9,34.7,48.64
[2024-06-04 08:31:25.690],66.1,34.8,47.49
[2024-06-04 08:33:26.325],66.3,34.5,46.6
[2024-06-04 08:35:26.957],66.9,34.3,46.24
[2024-06-04 08:37:27.590],66.7,34.4,46.47
[2024-06-04 08:39:28.222],66.5,34.3,46.04
[2024-06-04 08:41:28.862],66.3,34.2,45.62
[2024-06-04 08:43:29.494],66.4,34.1,45.35
[2024-06-04 08:45:30.126],66.4,34.1,45.35
[2024-06-04 08:47:30.773],66.1,34.2,45.52
[2024-06-04 08:49:31.406],66,34.2,45.48
[2024-06-04 08:51:32.035],65.9,34.2,45.43
[2024-06-04 08:53:32.669],66,34.2,45.48
[2024-06-04 08:55:33.310],65.7,34.3,45.65
[2024-06-04 08:57:33.942],65.3,34.2,45.14
[2024-06-04 08:59:34.574],64.9,34.3,45.26
[2024-06-04 09:01:35.206],64.8,34.2,44.9
[2024-06-04 09:03:35.854],65.1,34.2,45.05
[2024-06-04 09:05:36.486],65.1,34.2,45.05
[2024-06-04 09:07:37.118],64.6,34.2,44.81
[2024-06-04 09:09:37.743],64.4,34.2,44.72
[2024-06-04 09:11:38.389],64.2,34.2,44.62
[2024-06-04 09:13:39.030],64.3,34.3,44.98
[2024-06-04 09:15:39.660],64.4,34.5,45.65
[2024-06-04 09:17:40.298],64.1,34.7,46.14
[2024-06-04 09:19:40.932],63.8,34.7,45.99
[2024-06-04 09:21:41.565],63.6,34.7,45.89
[2024-06-04 09:23:42.197],62.7,34.7,45.45
[2024-06-04 09:25:42.829],63.6,34.7,45.89
[2024-06-04 09:27:43.461],64.6,34.7,46.39
[2024-06-04 09:29:44.104],64.5,35,47.32
[2024-06-04 09:31:44.736],62.9,35,46.49
[2024-06-04 09:33:45.368],63.4,34.6,45.48
[2024-06-04 09:35:46.016],63.3,34.8,46.06
[2024-06-04 09:37:46.648],63.6,34.9,46.53
[2024-06-04 09:39:47.276],64,35,47.06
[2024-06-04 09:41:47.923],64,35.1,47.38
[2024-06-04 09:43:48.556],62.3,35.1,46.5
[2024-06-04 09:45:49.188],62,35.1,46.35
[2024-06-04 09:47:49.820],62.5,35,46.29
[2024-06-04 09:49:50.463],63,35,46.54
[2024-06-04 09:51:51.095],64.1,34.9,46.78
[2024-06-04 09:53:51.727],64.4,35.1,47.59
[2024-06-04 09:55:52.360],64.6,35.2,48.03
[2024-06-04 09:57:52.992],63.2,35.3,47.61
[2024-06-04 09:59:53.636],62.3,35.1,46.5
