Date-and-Time, Humidity %, Temperature(°C), Heat-Index 
[2024-04-14 20:16:42.960] 1011480,69.6,32.3,41.15
[2024-04-14 20:16:43.964] 2035428,69.6,32.3,41.15
[2024-04-14 20:16:45.004] 3037372,69.8,32.3,41.22
[2024-04-14 20:16:46.008] 4061184,69.8,32.3,41.22
[2024-04-14 20:16:47.043] 5063120,69.8,32.3,41.22
[2024-04-14 20:16:48.046] 6087952,69.8,32.3,41.22
[2024-04-14 20:16:49.070] 7089892,69.6,32.3,41.15
[2024-04-14 20:16:50.089] 8113848,69.6,32.3,41.15
[2024-04-14 20:16:51.124] 9115788,69.6,32.3,41.15
[2024-04-14 20:16:52.126] 10139740,69.6,32.3,41.15
[2024-04-14 20:16:53.151] 11141724,69.6,32.4,41.45
[2024-04-14 20:16:54.170] 12166744,69.6,32.4,41.45
[2024-04-14 20:16:55.205] 13168732,69.6,32.3,41.15
[2024-04-14 20:16:56.207] 14192724,69.6,32.3,41.15
[2024-04-14 20:16:57.241] 15194716,69.6,32.4,41.45
[2024-04-14 20:16:58.249] 16219740,69.6,32.4,41.45
[2024-04-14 20:16:59.274] 17221728,69.6,32.4,41.45
[2024-04-14 20:17:00.277] 18245716,69.6,32.4,41.45
[2024-04-14 20:17:01.313] 19247700,69.6,32.3,41.15
[2024-04-14 20:17:02.317] 20272728,69.6,32.3,41.15
[2024-04-14 20:17:03.351] 21274716,69.5,32.3,41.11
[2024-04-14 20:17:04.359] 22298712,69.5,32.3,41.11
[2024-04-14 20:17:05.395] 23300700,69.5,32.4,41.41
[2024-04-14 20:17:06.406] 24325668,69.5,32.4,41.41
[2024-04-14 20:17:07.433] 25327656,69.5,32.4,41.41
[2024-04-14 20:17:08.436] 26351604,69.5,32.4,41.41
[2024-04-14 20:17:09.471] 27353592,69.5,32.4,41.41
[2024-04-14 20:17:10.474] 28378560,69.5,32.4,41.41
[2024-04-14 20:17:11.516] 29380544,69.5,32.4,41.41
[2024-04-14 20:17:12.520] 30404488,69.5,32.4,41.41
[2024-04-15 21:47:45.091] 10011480,66.7,33.5,43.6
[2024-04-15 21:47:50.372] 20035560,69.9,33.9,46.39
[2024-04-15 21:48:00.450] 30059560,68.7,33.9,45.8
[2024-04-15 21:48:10.543] 40083588,67.9,34,45.75
[2024-04-15 21:48:20.610] 50107512,67.4,34,45.5
[2024-04-15 21:48:30.687] 60131348,67,34.1,45.64
[2024-04-15 21:48:40.764] 70155192,66.9,34.1,45.59
[2024-04-15 21:48:50.842] 80179144,66.8,34.1,45.54
[2024-04-15 21:49:00.919] 90203052,66.7,34.1,45.49
[2024-04-15 21:49:10.997] 100226996,66.6,34.1,45.44
[2024-04-15 21:49:21.074] 110250984,66.7,34.1,45.49
[2024-04-15 21:49:31.152] 120274980,66.9,34.1,45.59
[2024-04-15 21:49:41.229] 130298976,66.8,34.1,45.54
[2024-04-15 21:49:51.306] 140322924,66.8,34.1,45.54
[2024-04-15 21:50:01.384] 150346876,66.9,34.1,45.59
[2024-04-15 21:50:11.461] 160370868,67,34.1,45.64
[2024-04-15 21:50:21.539] 170394756,67,34,45.31
[2024-04-15 21:50:31.616] 180418576,67.2,34,45.41
[2024-04-15 21:50:41.694] 190442508,67.2,34,45.41
[2024-04-15 21:50:51.787] 200466440,67.2,34,45.41
